Declared,Temperature,NH3,pH,LUX,PAR,Kelvin,In/Out,Do
28/07/2021 01:19,25.375,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:15,25.75,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:15,25.875,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:15,25.875,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:15,25.875,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:15,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:15,25.625,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:15,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:15,24.875,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:14,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:14,25.625,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:14,25.75,0.075,6.48,0,0,0,In,7.90
28/07/2021 01:14,25.75,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:14,25.625,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:14,25.75,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:14,25.5,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:14,25.5,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:13,25.625,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:09,26,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:08,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:08,26,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:08,26,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:08,26,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:08,25.75,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:08,26,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:08,25.75,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:08,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:08,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:07,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:07,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:07,25.75,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:07,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:07,25.875,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:07,25.75,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:07,25.75,0.075,6.48,0,0,0,In,7.60
28/07/2021 01:07,25.625,0.075,6.5,0,0,0,In,7.60
28/07/2021 01:06,25.75,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:06,25.75,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:06,25.75,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:06,25.625,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:06,25.75,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:06,25.5,0.075,6.5,0,0,0,In,7.60
28/07/2021 01:06,25.625,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:06,25.75,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:06,25.5,0.075,6.5,0,0,0,In,7.60
28/07/2021 01:06,25.5,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:56,25.5,0.075,6.49,0,0,0,In,7.80
28/07/2021 00:51,25.875,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:47,26.125,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:47,26,0.075,6.49,0,0,0,In,7.90
28/07/2021 00:47,26.125,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:47,26.125,0.075,6.49,0,0,0,In,7.80
28/07/2021 00:47,25.875,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:46,26,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:46,26.125,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:46,26.125,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:46,26.125,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:46,26,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:46,26.125,0.075,6.49,0,0,0,In,7.60
28/07/2021 00:46,25.875,0.075,6.49,0,0,0,In,7.60
28/07/2021 00:46,26,0.075,6.49,0,0,0,In,7.80
28/07/2021 00:45,26,0.075,6.49,0,0,0,In,7.80
28/07/2021 00:45,26.125,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:45,26.125,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:45,26,0.075,6.49,0,0,0,In,7.90
28/07/2021 00:45,26,0.075,6.49,0,0,0,In,7.80
28/07/2021 00:45,26.125,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:45,25.875,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:45,26,0.077,6.5,0,0,0,In,7.90
28/07/2021 00:45,26,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:44,25.875,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:44,26,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:44,26,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:44,26,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:44,26,0.075,6.49,0,0,0,In,7.90
28/07/2021 00:44,26.125,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:44,26,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:44,25.875,0.075,6.49,0,0,0,In,7.60
28/07/2021 00:43,26,0.075,6.49,0,0,0,In,7.60
28/07/2021 00:43,25.875,0.078,6.46,0,0,0,In,7.60
28/07/2021 00:43,25.875,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:43,25.875,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:43,25.875,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:43,26,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:43,26,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:43,25.75,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:43,25.875,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:42,25.875,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:42,26,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:42,25.875,0.075,6.49,0,0,0,In,7.80
28/07/2021 00:42,25.875,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:42,25.875,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:42,25.75,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:42,25.75,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:42,25.75,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:42,25.75,0.075,6.51,0,0,0,In,7.60
28/07/2021 00:41,25.875,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:41,25.75,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:41,25.75,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:41,25.75,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:36,25.625,0.075,6.5,0,0,0,In,7.60
28/07/2021 00:32,26,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:32,26,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:32,26,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:32,26,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:31,25.875,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:31,25.875,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:31,25.875,0.075,6.5,0,0,0,In,7.70
28/07/2021 00:31,25.875,0.075,6.5,0,0,0,In,7.90
28/07/2021 00:31,25.875,0.075,6.49,0,0,0,In,7.90
28/07/2021 00:31,25.75,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:31,25.75,0.075,6.49,0,0,0,In,7.90
28/07/2021 00:31,25.75,0.075,6.49,0,0,0,In,7.60
28/07/2021 00:28,25.875,0.075,6.5,0,0,0,In,7.80
28/07/2021 00:16,25.75,0.075,6.49,0,0,0,In,7.70
28/07/2021 00:06,25.75,0.075,6.5,0,0,0,In,7.70
27/07/2021 23:56,25.875,0.075,6.49,0,0,0,In,7.70
27/07/2021 23:36,26,0.075,6.5,0,0,0,In,7.70
27/07/2021 23:16,26.125,0.075,6.5,0,0,0,In,7.80
